CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 11, adversary: B_lineAgent, mean: -3.132, standard deviation 0.7400354891844886
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.20.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.20.70'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.20.70'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.107.97'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.97'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.107.97'), ('Remove User2', 'ExploitRemoteService 10.0.20.70'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.107.97')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.33.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.33.130'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.33.130'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.63.120'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.63.120'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.33.130'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.63.120'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.63.120'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.33.130')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.34.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.34.136'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.34.136'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.39.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.39.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.34.136'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.39.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.39.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.34.136')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.254.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.254.219'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.254.219'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.195.231'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.195.231'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.254.219'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.195.231'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.195.231'), ('Remove User2', 'ExploitRemoteService 10.0.254.219')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.72.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.72.39'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.72.39'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.159.129'), ('Analyse User2', 'ExploitRemoteService 10.0.159.129'), ('Analyse User2', 'ExploitRemoteService 10.0.72.39'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.159.129'), ('Analyse User2', 'ExploitRemoteService 10.0.159.129'), ('Analyse User2', 'ExploitRemoteService 10.0.72.39')], total reward: -1.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.146.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.146.202'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.146.202'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.221.162'), ('Analyse User2', 'ExploitRemoteService 10.0.221.162'), ('Analyse User2', 'ExploitRemoteService 10.0.146.202'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.146.202'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.146.202')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.169.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.169.117'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.169.117'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.244.26'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.244.26'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.244.26'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.244.26'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.195.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.195.236'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.195.236'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.226.105'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.226.105'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.226.105'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.226.105'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -3.9000000000000004
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.211.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.211.247'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.211.247'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.180.36'), ('Analyse User2', 'ExploitRemoteService 10.0.180.36'), ('Analyse User2', 'ExploitRemoteService 10.0.211.247'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.180.36'), ('Analyse User2', 'ExploitRemoteService 10.0.180.36'), ('Analyse User2', 'ExploitRemoteService 10.0.211.247')], total reward: -1.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.53.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.53.26'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.53.26'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.149.181'), ('Analyse User2', 'ExploitRemoteService 10.0.149.181'), ('Analyse User2', 'ExploitRemoteService 10.0.53.26'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.149.181'), ('Analyse User2', 'ExploitRemoteService 10.0.149.181'), ('Analyse User2', 'ExploitRemoteService 10.0.53.26')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.221.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.221.66'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.221.66'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.55.109'), ('Analyse User2', 'ExploitRemoteService 10.0.55.109'), ('Analyse User2', 'ExploitRemoteService 10.0.221.66'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.55.109'), ('Analyse User2', 'ExploitRemoteService 10.0.55.109'), ('Analyse User2', 'ExploitRemoteService 10.0.221.66')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.50.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.50.74'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.50.74'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.60.164'), ('Analyse User2', 'ExploitRemoteService 10.0.60.164'), ('Analyse User2', 'ExploitRemoteService 10.0.50.74'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.60.164'), ('Analyse User2', 'ExploitRemoteService 10.0.60.164'), ('Analyse User2', 'ExploitRemoteService 10.0.50.74')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.30.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.30.250'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.30.250'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.12.183'), ('Analyse User2', 'ExploitRemoteService 10.0.12.183'), ('Analyse User2', 'ExploitRemoteService 10.0.30.250'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.30.250'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.30.250')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.117.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.117.204'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.117.204'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.26.58'), ('Analyse User2', 'ExploitRemoteService 10.0.26.58'), ('Analyse User2', 'ExploitRemoteService 10.0.117.204'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.117.204'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.117.204')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.192.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.192.94'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.192.94'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.21.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.21.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.192.94'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.21.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.21.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.192.94')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.142.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.142.65'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.142.65'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.233.97'), ('Analyse User2', 'ExploitRemoteService 10.0.233.97'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.233.97'), ('Remove User2', 'ExploitRemoteService 10.0.142.65'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.233.97')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.145'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.54.145'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.238.228'), ('Analyse User2', 'ExploitRemoteService 10.0.238.228'), ('Analyse User2', 'ExploitRemoteService 10.0.54.145'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.54.145'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.54.145')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.248'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.182.248'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.15.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.182.248'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.15.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.182.248')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.203.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.203.22'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.203.22'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.32.45'), ('Analyse User2', 'ExploitRemoteService 10.0.32.45'), ('Analyse User2', 'ExploitRemoteService 10.0.203.22'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.203.22'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.203.22')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.57.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.57.26'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.57.26'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.174.203'), ('Analyse User2', 'ExploitRemoteService 10.0.174.203'), ('Analyse User2', 'ExploitRemoteService 10.0.57.26'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.57.26'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.57.26')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.59'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.182.59'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.22.230'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.230'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.230'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.230'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.234.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.234.24'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.234.24'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.228.138'), ('Analyse User2', 'ExploitRemoteService 10.0.228.138'), ('Analyse User2', 'ExploitRemoteService 10.0.234.24'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.228.138'), ('Analyse User2', 'ExploitRemoteService 10.0.228.138'), ('Analyse User2', 'ExploitRemoteService 10.0.234.24')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.17'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.225.17'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.58.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.58.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.225.17'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.58.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.58.232'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.243.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.243.107'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.243.107'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.115.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.115.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.243.107'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.115.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.115.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.243.107')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.164.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.164.58'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.164.58'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.119.200'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.119.200'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.164.58'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.119.200'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.119.200'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.164.58')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.105.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.105.165'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.105.165'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.98.174'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.98.174'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.98.174'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.98.174'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.212.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.212.88'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.212.88'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.212.88'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.61.230'), ('Analyse User2', 'ExploitRemoteService 10.0.61.230'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.61.230'), ('Remove User2', 'ExploitRemoteService 10.0.212.88'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.43.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.43.211'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.43.211'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.75.78'), ('Analyse User2', 'ExploitRemoteService 10.0.75.78'), ('Analyse User2', 'ExploitRemoteService 10.0.43.211'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.43.211'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.75.78')], total reward: -2.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.65.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.65.104'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.65.104'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.8.203'), ('Analyse User2', 'ExploitRemoteService 10.0.8.203'), ('Analyse User2', 'ExploitRemoteService 10.0.65.104'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.8.203'), ('Analyse User2', 'ExploitRemoteService 10.0.8.203'), ('Analyse User2', 'ExploitRemoteService 10.0.65.104')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.208.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.208.106'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.208.106'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.35.4'), ('Analyse User2', 'ExploitRemoteService 10.0.35.4'), ('Analyse User2', 'ExploitRemoteService 10.0.208.106'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyTomcat Op_Server0', 'DiscoverNetworkServices 10.0.35.4'), ('Analyse User2', 'ExploitRemoteService 10.0.35.4'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.4.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.4.214'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.4.214'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.141.86'), ('Analyse User2', 'ExploitRemoteService 10.0.141.86'), ('Analyse User2', 'ExploitRemoteService 10.0.4.214'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.141.86'), ('Analyse User2', 'ExploitRemoteService 10.0.141.86'), ('Analyse User2', 'ExploitRemoteService 10.0.4.214')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.58.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.58.203'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.58.203'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.158.66'), ('Analyse User2', 'ExploitRemoteService 10.0.158.66'), ('Analyse User2', 'ExploitRemoteService 10.0.58.203'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.58.203'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.58.203')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.85'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.54.85'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.144.18'), ('Analyse User2', 'ExploitRemoteService 10.0.144.18'), ('Analyse User2', 'ExploitRemoteService 10.0.54.85'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.54.85'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.54.85')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.67.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.67.20'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.67.20'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.43.18'), ('Analyse User2', 'ExploitRemoteService 10.0.43.18'), ('Analyse User2', 'ExploitRemoteService 10.0.67.20'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.43.18'), ('Analyse User2', 'ExploitRemoteService 10.0.43.18'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -3.3
