CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 13, adversary: B_lineAgent, mean: -4.247, standard deviation 0.8068463361142629
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.253.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.253.26'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.253.26'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.7.157'), ('Analyse User2', 'ExploitRemoteService 10.0.7.157'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.7.157'), ('Remove User2', 'ExploitRemoteService 10.0.253.26'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.7.157'), ('Analyse User2', 'ExploitRemoteService 10.0.7.157'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.170'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.182.170'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.41.118'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.41.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.41.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.41.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.41.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.183.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.183.20'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.183.20'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.43.222'), ('Analyse User2', 'ExploitRemoteService 10.0.43.222'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.43.222'), ('Remove User2', 'ExploitRemoteService 10.0.183.20'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.43.222'), ('Analyse User2', 'ExploitRemoteService 10.0.43.222'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.244.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.244.109'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.244.109'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.66.115'), ('Analyse User2', 'ExploitRemoteService 10.0.66.115'), ('Analyse User2', 'ExploitRemoteService 10.0.244.109'), ('Remove User2', 'ExploitRemoteService 10.0.244.109'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.244.109'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.244.109'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -4.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.3.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.3.137'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.3.137'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.250.119'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.250.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.250.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.250.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.250.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.115.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.115.203'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.115.203'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.171.49'), ('Analyse User2', 'ExploitRemoteService 10.0.171.49'), ('Analyse User2', 'ExploitRemoteService 10.0.115.203'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.171.49'), ('Analyse User2', 'ExploitRemoteService 10.0.171.49'), ('Analyse User2', 'ExploitRemoteService 10.0.115.203'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.171.49')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.163.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.163.97'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.163.97'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.155.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.155.74'), ('Remove User2', 'ExploitRemoteService 10.0.163.97'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.155.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.155.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.163.97'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.155.74')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.76.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.76.186'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.76.186'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.11.38'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.11.38'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.76.186'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.11.38'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.11.38'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.76.186'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.11.38')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.157.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.157.126'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.157.126'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.201.14'), ('Analyse User2', 'ExploitRemoteService 10.0.201.14'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.201.14'), ('Remove User2', 'ExploitRemoteService 10.0.157.126'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.201.14'), ('Analyse User2', 'ExploitRemoteService 10.0.201.14'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.5.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.5.86'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.5.86'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.70.57'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.70.57'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.70.57'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.70.57'), ('Remove User2', 'ExploitRemoteService 10.0.5.86'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.70.57')], total reward: -6.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.172.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.172.19'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.172.19'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.132.210'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.132.210'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.132.210'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.132.210'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.132.210'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.157.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.157.90'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.157.90'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.77.35'), ('Analyse User2', 'ExploitRemoteService 10.0.77.35'), ('Analyse User2', 'ExploitRemoteService 10.0.157.90'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.77.35'), ('Analyse User2', 'ExploitRemoteService 10.0.77.35'), ('Analyse User2', 'ExploitRemoteService 10.0.157.90'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.77.35')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.58.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.58.161'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.58.161'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.167.210'), ('Analyse User2', 'ExploitRemoteService 10.0.167.210'), ('Analyse User2', 'ExploitRemoteService 10.0.58.161'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.167.210'), ('Analyse User2', 'ExploitRemoteService 10.0.167.210'), ('Analyse User2', 'ExploitRemoteService 10.0.58.161'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.167.210')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.247.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.247.82'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.247.82'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.122.103'), ('Analyse User2', 'ExploitRemoteService 10.0.122.103'), ('Analyse User2', 'ExploitRemoteService 10.0.247.82'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.247.82'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.247.82'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.247.82')], total reward: -4.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.68.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.68.218'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.68.218'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.17'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.17'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.99.17'), ('Remove User2', 'ExploitRemoteService 10.0.68.218'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.99.17'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.17'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.227.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.227.156'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.227.156'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.22.153'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.153'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.153'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.153'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.153'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.79.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.79.10'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.79.10'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.242.8'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.242.8'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.242.8'), ('Remove User2', 'ExploitRemoteService 10.0.79.10'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.242.8'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.242.8'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.79.10')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.190.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.190.107'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.190.107'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.78.82'), ('Analyse User2', 'ExploitRemoteService 10.0.78.82'), ('Analyse User2', 'ExploitRemoteService 10.0.190.107'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.78.82'), ('Analyse User2', 'ExploitRemoteService 10.0.78.82'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.78.82'), ('Remove User2', 'ExploitRemoteService 10.0.190.107')], total reward: -2.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.218.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.218.226'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.218.226'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.148.11'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.148.11'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.218.226'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.148.11'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.148.11'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.148.11'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.57'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.54.57'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.93.4'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.93.4'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.93.4'), ('Remove User2', 'ExploitRemoteService 10.0.54.57'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.93.4'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.93.4'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.54.57')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.207.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.207.75'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.207.75'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.111.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.111.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.207.75'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.111.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.111.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.207.75'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.111.81')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.92.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.92.171'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.92.171'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.32.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.32.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.92.171'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.32.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.32.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.92.171'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.32.21')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.219.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.219.84'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.219.84'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.50.100'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.100'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.50.100'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.50.100'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.50.100'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.101.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.101.164'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.101.164'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.199.198'), ('Analyse User2', 'ExploitRemoteService 10.0.199.198'), ('Analyse User2', 'ExploitRemoteService 10.0.101.164'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.101.164'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.101.164'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.101.164')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.157.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.157.52'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.157.52'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.130.169'), ('Analyse User2', 'ExploitRemoteService 10.0.130.169'), ('Analyse User2', 'ExploitRemoteService 10.0.157.52'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.130.169'), ('Analyse User2', 'ExploitRemoteService 10.0.130.169'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.130.169'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.65.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.65.70'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.65.70'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.116.155'), ('Analyse User2', 'ExploitRemoteService 10.0.116.155'), ('Analyse User2', 'ExploitRemoteService 10.0.65.70'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.116.155'), ('Analyse User2', 'ExploitRemoteService 10.0.116.155'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.116.155'), ('Remove User2', 'ExploitRemoteService 10.0.65.70')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.23.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.23.73'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.23.73'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.113.137'), ('Analyse User2', 'ExploitRemoteService 10.0.113.137'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.113.137'), ('Remove User2', 'ExploitRemoteService 10.0.23.73'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.113.137'), ('Analyse User2', 'ExploitRemoteService 10.0.113.137'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.161.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.161.39'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.161.39'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.216.227'), ('Analyse User2', 'ExploitRemoteService 10.0.216.227'), ('Analyse User2', 'ExploitRemoteService 10.0.161.39'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.216.227'), ('Analyse User2', 'ExploitRemoteService 10.0.216.227'), ('Analyse User2', 'ExploitRemoteService 10.0.161.39'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.216.227')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.252.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.252.164'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.252.164'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.27.155'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.27.155'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.164'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.27.155'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.27.155'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.164'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.27.155')], total reward: -3.5
