CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 10, adversary: B_lineAgent, mean: -2.809, standard deviation 0.6375608507302173
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.66.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.66.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.66.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.48.236'), ('Analyse User2', 'ExploitRemoteService 10.0.48.236'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.48.236'), ('Remove User2', 'ExploitRemoteService 10.0.66.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.242.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.242.156'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.242.156'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.221.250'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.221.250'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.242.156'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.221.250'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.221.250')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.55.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.55.9'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.55.9'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.89.177'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.89.177'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.89.177'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.89.177')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.145.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.145.193'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.145.193'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.55.38'), ('Analyse User2', 'ExploitRemoteService 10.0.55.38'), ('Analyse User2', 'ExploitRemoteService 10.0.145.193'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyTomcat Op_Server0', 'DiscoverNetworkServices 10.0.55.38'), ('Analyse User2', 'ExploitRemoteService 10.0.55.38')], total reward: -1.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.95.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.95.185'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.95.185'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.221.51'), ('Analyse User2', 'ExploitRemoteService 10.0.221.51'), ('Analyse User2', 'ExploitRemoteService 10.0.95.185'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.95.185'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.254.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.254.46'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.254.46'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.114.229'), ('Analyse User2', 'ExploitRemoteService 10.0.114.229'), ('Analyse User2', 'ExploitRemoteService 10.0.254.46'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.254.46'), ('Remove User2', 'ExploitRemoteService 10.0.254.46')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.113.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.113.107'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.113.107'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.178.137'), ('Analyse User2', 'ExploitRemoteService 10.0.178.137'), ('Analyse User2', 'ExploitRemoteService 10.0.113.107'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.178.137'), ('Analyse User2', 'ExploitRemoteService 10.0.178.137')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.134.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.134.98'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.134.98'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.92.1'), ('Analyse User2', 'ExploitRemoteService 10.0.92.1'), ('Analyse User2', 'ExploitRemoteService 10.0.134.98'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.134.98'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.212'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.225.212'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.69.234'), ('Analyse User2', 'ExploitRemoteService 10.0.69.234'), ('Analyse User2', 'ExploitRemoteService 10.0.225.212'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.225.212'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.217.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.217.202'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.217.202'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.103.174'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.174'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.217.202'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.103.174'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.174')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.119.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.119.141'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.119.141'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.170.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.170.116'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.170.116'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.170.116')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.89'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.54.89'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.13.117'), ('Analyse User2', 'ExploitRemoteService 10.0.13.117'), ('Analyse User2', 'ExploitRemoteService 10.0.54.89'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.13.117'), ('Analyse User2', 'ExploitRemoteService 10.0.13.117')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.108.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.108.242'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.108.242'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.83.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.83.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.108.242'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.83.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.83.232')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.82.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.82.42'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.82.42'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.19.14'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.14'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.19.14'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.19.14')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.205.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.205.148'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.205.148'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.118.3'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.118.3'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.118.3'), ('Analyse User2', 'ExploitRemoteService 10.0.205.148'), ('Analyse User2', 'PrivilegeEscalate User2')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.0.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.0.246'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.0.246'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.150.178'), ('Analyse User2', 'ExploitRemoteService 10.0.150.178'), ('Analyse User2', 'ExploitRemoteService 10.0.0.246'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.150.178'), ('Analyse User2', 'ExploitRemoteService 10.0.150.178')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.126.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.126.254'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.126.254'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.108.51'), ('Analyse User2', 'ExploitRemoteService 10.0.108.51'), ('Analyse User2', 'ExploitRemoteService 10.0.126.254'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Analyse User1', 'DiscoverNetworkServices 10.0.108.51'), ('Analyse User2', 'ExploitRemoteService 10.0.108.51')], total reward: -1.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.164'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.54.164'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.12.151'), ('Analyse User2', 'ExploitRemoteService 10.0.12.151'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.12.151'), ('Remove User2', 'ExploitRemoteService 10.0.54.164'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.248.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.248.231'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.248.231'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.42.36'), ('Analyse User2', 'ExploitRemoteService 10.0.42.36'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.42.36'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.42.36')], total reward: -3.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.150.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.150.21'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.150.21'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.222.123'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.222.123'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.222.123'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.222.123')], total reward: -2.8000000000000003
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.150.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.150.100'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.150.100'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.139.116'), ('Analyse User2', 'ExploitRemoteService 10.0.139.116'), ('Analyse User2', 'ExploitRemoteService 10.0.150.100'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.150.100'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.0.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.0.249'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.0.249'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.186.125'), ('Analyse User2', 'ExploitRemoteService 10.0.186.125'), ('Analyse User2', 'ExploitRemoteService 10.0.0.249'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.0.249'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.101.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.101.253'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.101.253'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.56.242'), ('Analyse User2', 'ExploitRemoteService 10.0.56.242'), ('Analyse User2', 'ExploitRemoteService 10.0.101.253'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.56.242'), ('Analyse User2', 'ExploitRemoteService 10.0.56.242')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.231.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.231.53'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.231.53'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.95.170'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.95.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.95.170'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.95.170')], total reward: -3.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.37.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.37.216'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.37.216'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.131.126'), ('Analyse User2', 'ExploitRemoteService 10.0.131.126'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.131.126'), ('Remove User2', 'ExploitRemoteService 10.0.37.216'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.247.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.247.40'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.247.40'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.48.168'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.48.168'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.247.40'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.48.168'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.48.168')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.61.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.61.83'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.61.83'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.122.46'), ('Analyse User2', 'ExploitRemoteService 10.0.122.46'), ('Analyse User2', 'ExploitRemoteService 10.0.61.83'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.61.83'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.174.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.174.168'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.174.168'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.82.238'), ('Analyse User2', 'ExploitRemoteService 10.0.82.238'), ('Analyse User2', 'ExploitRemoteService 10.0.174.168'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.82.238'), ('Analyse User2', 'ExploitRemoteService 10.0.82.238')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.154.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.154.188'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.154.188'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.68.234'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.68.234'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.68.234'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.68.234')], total reward: -3.8000000000000003
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.62.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.62.193'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.62.193'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.124.216'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.124.216'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.124.216'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.124.216')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.224.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.224.13'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.224.13'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.84.110'), ('Analyse User2', 'ExploitRemoteService 10.0.84.110'), ('Analyse User2', 'ExploitRemoteService 10.0.224.13'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyTomcat Op_Server0', 'DiscoverNetworkServices 10.0.84.110'), ('Analyse User2', 'ExploitRemoteService 10.0.84.110')], total reward: -1.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.155.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.155.124'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.155.124'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.159.49'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.159.49'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.159.49'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.159.49')], total reward: -4.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.132.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.132.184'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.132.184'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.168.146'), ('Analyse User2', 'ExploitRemoteService 10.0.168.146'), ('Analyse User2', 'ExploitRemoteService 10.0.132.184'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.168.146'), ('Analyse User2', 'ExploitRemoteService 10.0.168.146')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.58.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.58.170'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.58.170'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.170.5'), ('Analyse User2', 'ExploitRemoteService 10.0.170.5'), ('Analyse User2', 'ExploitRemoteService 10.0.58.170'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.58.170'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.25.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.25.109'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.25.109'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.100.18'), ('Analyse User2', 'ExploitRemoteService 10.0.100.18'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.100.18'), ('Remove User2', 'ExploitRemoteService 10.0.25.109'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.111.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.111.70'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.111.70'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.30.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.30.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.30.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.30.56')], total reward: -3.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.101.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.101.52'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.101.52'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.31.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.31.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.101.52'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.31.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.31.7')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.24.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.24.57'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.24.57'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.250.118'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.250.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.250.118'), ('Remove User2', 'ExploitRemoteService 10.0.24.57'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1')], total reward: -2.4
