CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 8, adversary: B_lineAgent, mean: -1.798, standard deviation 0.5316222551983901
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.62.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.62.104'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.62.104'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.91.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.91.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.104'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.174.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.174.29'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.174.29'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.206.218'), ('Analyse User2', 'ExploitRemoteService 10.0.206.218'), ('Analyse User2', 'ExploitRemoteService 10.0.174.29'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.21.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.21.67'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.21.67'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.71.234'), ('Analyse User2', 'ExploitRemoteService 10.0.71.234'), ('Analyse User2', 'ExploitRemoteService 10.0.21.67'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.243.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.243.151'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.243.151'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.238.219'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.238.219'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.243.151'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.76.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.76.174'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.76.174'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.15.106'), ('Analyse User2', 'ExploitRemoteService 10.0.15.106'), ('Analyse User2', 'ExploitRemoteService 10.0.76.174'), ('Remove User2', 'ExploitRemoteService 10.0.76.174')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.211.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.211.247'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.211.247'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.180.36'), ('Analyse User2', 'ExploitRemoteService 10.0.180.36'), ('Analyse User2', 'ExploitRemoteService 10.0.211.247'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4')], total reward: -0.6000000000000001
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.148.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.148.136'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.148.136'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.158.135'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.158.135'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.158.135')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.42.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.42.131'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.42.131'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.73.230'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.73.230'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.73.230')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.220.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.220.42'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.220.42'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.206.211'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.206.211'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.220.42'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.199.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.199.230'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.199.230'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.98.76'), ('Analyse User2', 'ExploitRemoteService 10.0.98.76'), ('Analyse User2', 'ExploitRemoteService 10.0.199.230'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.126.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.126.89'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.126.89'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.149.117'), ('Analyse User2', 'ExploitRemoteService 10.0.149.117'), ('Analyse User2', 'ExploitRemoteService 10.0.126.89'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.203'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.225.203'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.66.236'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.66.236'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.66.236')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.142.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.142.158'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.142.158'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.201.105'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.201.105'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.142.158'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.237.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.237.51'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.237.51'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.107.203'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.203'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.237.51'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.51.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.51.221'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.51.221'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.181.23'), ('Analyse User2', 'ExploitRemoteService 10.0.181.23'), ('Analyse User2', 'ExploitRemoteService 10.0.51.221'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.192.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.192.22'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.192.22'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.67.252'), ('Analyse User2', 'ExploitRemoteService 10.0.67.252'), ('Analyse User2', 'ExploitRemoteService 10.0.192.22'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.11.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.11.215'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.11.215'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.6.238'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.6.238'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.6.238')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.152.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.152.131'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.152.131'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.8.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.8.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.152.131'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.207.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.207.75'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.207.75'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.111.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.111.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.207.75'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.210.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.210.68'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.210.68'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.12.203'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.12.203'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.210.68'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.21.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.21.217'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.21.217'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.26.14'), ('Analyse User2', 'ExploitRemoteService 10.0.26.14'), ('Analyse User2', 'ExploitRemoteService 10.0.21.217'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.240.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.240.229'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.240.229'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.16.116'), ('Analyse User2', 'ExploitRemoteService 10.0.16.116'), ('Analyse User2', 'ExploitRemoteService 10.0.240.229'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.188.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.188.171'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.188.171'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.67.60'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.67.60'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.188.171'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.39.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.39.229'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.39.229'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.152.5'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.152.5'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.39.229'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.100.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.100.1'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.100.1'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.152.69'), ('Analyse User2', 'ExploitRemoteService 10.0.152.69'), ('Analyse User2', 'ExploitRemoteService 10.0.100.1'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.211.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.211.55'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.211.55'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.246.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.246.158'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.246.158')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.13.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.13.70'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.13.70'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.246.36'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.246.36'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.246.36')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.225.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.225.228'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.225.228'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.23.185'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.23.185'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.225.228'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.60.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.60.184'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.60.184'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.169.145'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.169.145'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.169.145')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.152.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.152.5'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.152.5'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.5.37'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.5.37'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.152.5'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.187.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.187.71'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.187.71'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.185.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.185.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.187.71'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.149.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.149.53'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.149.53'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.111.55'), ('Analyse User2', 'ExploitRemoteService 10.0.111.55'), ('Analyse User2', 'ExploitRemoteService 10.0.149.53'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.58.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.58.170'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.58.170'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.170.5'), ('Analyse User2', 'ExploitRemoteService 10.0.170.5'), ('Analyse User2', 'ExploitRemoteService 10.0.58.170'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.99.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.99.210'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.99.210'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.87.70'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.87.70'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.99.210'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.248.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.248.218'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.248.218'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.57.247'), ('Analyse User2', 'ExploitRemoteService 10.0.57.247'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.57.247')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.167.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.167.136'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.167.136'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.180.146'), ('Analyse User2', 'ExploitRemoteService 10.0.180.146'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.180.146')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.240.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.240.209'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.240.209'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.138.11'), ('Analyse User2', 'ExploitRemoteService 10.0.138.11'), ('Analyse User2', 'ExploitRemoteService 10.0.240.209'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.43.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.43.197'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.43.197'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.54.40'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.54.40'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.43.197'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.185.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.185.146'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.185.146'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.106.138'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.106.138'), ('Remove User2', 'ExploitRemoteService 10.0.185.146'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.179.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.179.220'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.179.220'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.236.89'), ('Analyse User2', 'ExploitRemoteService 10.0.236.89'), ('Analyse User2', 'ExploitRemoteService 10.0.179.220'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.74.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.74.58'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.74.58'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.243.13'), ('Analyse User2', 'ExploitRemoteService 10.0.243.13'), ('Analyse User2', 'ExploitRemoteService 10.0.74.58'), ('Remove User2', 'ExploitRemoteService 10.0.74.58')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.17.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.17.18'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.17.18'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.207.108'), ('Analyse User2', 'ExploitRemoteService 10.0.207.108'), ('Analyse User2', 'ExploitRemoteService 10.0.17.18'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.213.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.213.5'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.213.5'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.127.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.127.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.213.5'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.221.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.221.57'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.221.57'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.248.201'), ('Analyse User2', 'ExploitRemoteService 10.0.248.201'), ('Analyse User2', 'ExploitRemoteService 10.0.221.57'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.20.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.20.72'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.20.72'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.222.51'), ('Analyse User2', 'ExploitRemoteService 10.0.222.51'), ('Analyse User2', 'ExploitRemoteService 10.0.20.72'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
