CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 7, adversary: B_lineAgent, mean: -1.597, standard deviation 0.5248289764727693
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.184.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.184.69'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.184.69'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.184.107'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.184.107'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.184.69')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.252.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.252.220'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.252.220'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.123.99'), ('Analyse User2', 'ExploitRemoteService 10.0.123.99'), ('Analyse User2', 'ExploitRemoteService 10.0.252.220')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.76.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.76.14'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.76.14'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.137.68'), ('Analyse User2', 'ExploitRemoteService 10.0.137.68'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.72.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.72.248'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.72.248'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.176.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.176.165'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.206.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.206.4'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.206.4'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.108.34'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.108.34'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.206.4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.245.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.245.60'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.245.60'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.243.189'), ('Analyse User2', 'ExploitRemoteService 10.0.243.189'), ('Analyse User2', 'ExploitRemoteService 10.0.245.60')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.234.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.234.157'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.234.157'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.66.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.66.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.234.157')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.170.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.170.28'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.170.28'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.170.28'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.121.35'), ('Analyse User2', 'ExploitRemoteService 10.0.121.35')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.169.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.169.117'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.169.117'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.144.115'), ('Analyse User2', 'ExploitRemoteService 10.0.144.115'), ('Analyse User2', 'ExploitRemoteService 10.0.169.117')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.167.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.167.180'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.167.180'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.79.113'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.79.113'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.26.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.26.24'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.26.24'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.250.142'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.250.142'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.26.24')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.135.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.135.58'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.135.58'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.135.58'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.135.58'), ('DecoyVsftpd Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.116.232')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.177.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.177.196'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.177.196'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.38.195'), ('Analyse User2', 'ExploitRemoteService 10.0.38.195'), ('Analyse User2', 'ExploitRemoteService 10.0.177.196')], total reward: -0.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.8.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.8.113'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.8.113'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.224.50'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.224.50'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.8.113')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.99.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.99.122'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.99.122'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.102.53'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.102.53'), ('Analyse User2', 'ExploitRemoteService 10.0.99.122')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.206.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.206.136'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.206.136'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.94.184'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.94.184'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.124.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.124.221'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.221'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.251.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.251.54'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.146.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.146.211'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.146.211'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.236.125'), ('Analyse User2', 'ExploitRemoteService 10.0.236.125'), ('Analyse User2', 'ExploitRemoteService 10.0.146.211')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.82.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.82.137'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.82.137'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.96.194'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.96.194'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.82.137')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.106.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.106.117'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.106.117'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.200.38'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.200.38'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.255.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.255.209'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.255.209'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.183.151'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.183.151'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.131.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.131.251'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.131.251'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.6.46'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.6.46'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.251')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.145.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.145.36'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.145.36'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.116.22'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.116.22'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.244.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.244.52'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.244.52'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.79.88'), ('Analyse User2', 'ExploitRemoteService 10.0.79.88'), ('Analyse User2', 'ExploitRemoteService 10.0.244.52')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.65.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.65.27'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.65.27'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.131.6'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.131.6'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.52.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.52.214'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.52.214'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.12.142'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.12.142'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.89.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.89.171'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.89.171'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.117.129'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.117.129'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.89.171')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.114.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.114.78'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.114.78'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.116.53'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.116.53'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.114.78')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.10.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.10.44'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.10.44'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.186.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.186.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.10.44')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.75.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.75.58'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.75.58'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.178.18'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.178.18'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.75.58')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.83.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.83.184'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.83.184'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.7.152'), ('Analyse User2', 'ExploitRemoteService 10.0.7.152'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.122.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.122.23'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.122.23'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.242.162'), ('Analyse User2', 'ExploitRemoteService 10.0.242.162'), ('Analyse User2', 'ExploitRemoteService 10.0.122.23')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.82.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.82.10'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.82.10'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.86.166'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.86.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.15.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.15.216'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.15.216'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.126.162'), ('Analyse User2', 'ExploitRemoteService 10.0.126.162'), ('Analyse User2', 'ExploitRemoteService 10.0.15.216')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.0.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.0.116'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.0.116'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.42.221'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.42.221'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.0.116')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.133.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.133.9'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.133.9'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.18.234'), ('Analyse User2', 'ExploitRemoteService 10.0.18.234'), ('Analyse User2', 'ExploitRemoteService 10.0.133.9')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.184.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.184.43'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.184.43'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.0.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.0.74'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.106.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.106.129'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.106.129'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.253.184'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.253.184'), ('Remove User2', 'ExploitRemoteService 10.0.106.129')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.86.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.86.109'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.86.109'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.134.77'), ('Analyse User2', 'ExploitRemoteService 10.0.134.77'), ('Analyse User2', 'ExploitRemoteService 10.0.86.109')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.187.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.187.123'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.187.123'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.45.51'), ('Analyse User2', 'ExploitRemoteService 10.0.45.51'), ('Analyse User2', 'ExploitRemoteService 10.0.187.123')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.251.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.251.12'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.251.12'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.183.199'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.183.199'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.162.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.162.86'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.162.86'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.76.177'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.76.177'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.162.86')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.44.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.44.18'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.44.18'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.0.233'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.0.233'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.44.18')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.154.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.154.49'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.154.49'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.225.209'), ('Analyse User2', 'ExploitRemoteService 10.0.225.209'), ('Analyse User2', 'ExploitRemoteService 10.0.154.49')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.254.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.254.189'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.254.189'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.123.238'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.123.238'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.102.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.102.198'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.102.198'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.54.72'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.54.72'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.102.198')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.112.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.112.238'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.112.238'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.122.81'), ('Analyse User2', 'ExploitRemoteService 10.0.122.81'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.165.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.165.169'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.165.169'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.153.190'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.153.190'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.165.169')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.165.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.165.194'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.165.194'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.54.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.54.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.165.194')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.37.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.37.178'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.37.178'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.23.131'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.23.131'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.37.178')], total reward: -1.2
