CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 6, adversary: B_lineAgent, mean: -1.164, standard deviation 0.141078100012122
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.87.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.87.162'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.87.162'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.139.247'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.139.247')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.156.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.156.113'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.156.113'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.141.148'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.141.148')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.24.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.24.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.24.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.252.135'), ('Analyse User2', 'ExploitRemoteService 10.0.252.135')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.170.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.170.28'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.170.28'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.170.28'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.121.35')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.232.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.232.210'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.232.210'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.189.57'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.189.57')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.5.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.5.66'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.5.66'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.219.59'), ('Analyse User2', 'ExploitRemoteService 10.0.219.59')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.82.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.82.110'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.82.110'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.207.137'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.207.137')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.107.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.107.115'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.107.115'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.192.49'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.192.49')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.56.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.56.161'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.56.161'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.135.153'), ('Analyse User2', 'ExploitRemoteService 10.0.135.153')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.164.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.164.242'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.164.242'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.153.163'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.153.163')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.85.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.85.11'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.85.11'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.16.40'), ('Analyse User2', 'ExploitRemoteService 10.0.16.40')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.127.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.127.38'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.127.38'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.104.38'), ('Analyse User2', 'ExploitRemoteService 10.0.104.38')], total reward: -0.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.240.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.240.217'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.240.217'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.181.107'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.181.107')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.196.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.196.251'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.196.251'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.74.133'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.74.133')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.15.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.15.138'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.15.138'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.239.120'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.239.120')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.150.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.150.88'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.150.88'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.74.214'), ('Analyse User2', 'ExploitRemoteService 10.0.74.214')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.54.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.54.89'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.54.89'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.112.43'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.43')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.251.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.251.60'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.251.60'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.14.157'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.14.157')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.243.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.243.252'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.243.252'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.200.85'), ('Analyse User2', 'ExploitRemoteService 10.0.200.85')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.65.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.65.250'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.65.250'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.196.116'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.196.116')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.105.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.105.165'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.105.165'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.98.174'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.98.174')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.23.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.23.73'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.23.73'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.113.137'), ('Analyse User2', 'ExploitRemoteService 10.0.113.137')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.154.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.154.188'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.154.188'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User1'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.68.234'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.68.234')], total reward: -1.4000000000000001
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.166.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.166.215'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.166.215'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.198.194'), ('Analyse User2', 'ExploitRemoteService 10.0.198.194')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.85.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.85.3'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.85.3'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.110.148'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.110.148')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.10.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.10.138'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.10.138'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.10.38'), ('Analyse User2', 'ExploitRemoteService 10.0.10.38')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.212.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.212.75'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.212.75'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.213.155'), ('Analyse User2', 'ExploitRemoteService 10.0.213.155')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.234.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.234.75'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.234.75'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.124.166'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.124.166')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.153.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.153.26'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.153.26'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.19.45'), ('Analyse User2', 'ExploitRemoteService 10.0.19.45')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.136.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.136.109'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.136.109'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.162.199'), ('Analyse User2', 'ExploitRemoteService 10.0.162.199')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.155.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.155.87'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.155.87'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.97.66'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.97.66')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.162.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.162.214'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.162.214'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.86.91'), ('Analyse User2', 'ExploitRemoteService 10.0.86.91')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.158.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.158.42'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.158.42'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.100.232'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.100.232')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.98.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.98.228'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.98.228'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.180.92'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.180.92')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.135.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.135.100'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.135.100'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.198.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.74')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.135.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.135.59'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.135.59'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.1.210'), ('Analyse User2', 'ExploitRemoteService 10.0.1.210')], total reward: -0.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.83.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.83.121'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.83.121'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.81.206'), ('Analyse User2', 'ExploitRemoteService 10.0.81.206')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.207.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.207.115'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.207.115'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.161.233'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.161.233')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.196.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.196.246'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.196.246'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.219.2'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.219.2')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.20.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.20.172'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.20.172'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.192.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.192.54')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.1.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.1.33'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.1.33'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.128.142'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.128.142')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.182.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.182.131'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.182.131'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.208.125'), ('Analyse User2', 'ExploitRemoteService 10.0.208.125')], total reward: -1.2
